RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
394913,1,"New York, NY",NY,503000,513000,521300,526300,528300,526600,526267,527600,529000,527667,524667,524667,528000,537667,544333,549000,547667,544333,544333,545667,549000,549300,549300,549300,552333,555967,559300,561300,566333,574967,584967,592967,597967,599600,596600,594967,594667,597667,598667,595633,589267,579600,574633,574333,576333,576333,576667,584550,592550,603550,610667,617667,613330,606330,599663,606333,612999,619333,619333,624667,634967,647967,662633,672333,679000,676000,679333,684667
753899,2,"Los Angeles, CA",CA,721333,735000,743333,750000,749667,742967,736267,728267,724633,719667,711300,711600,716267,732633,742667,752933,756567,759233,758967,758667,762333,765667,767667,771298,779965,787965,794333,802333,816000,826000,829633,831300,838294,844661,849327,849296,849629,856296,864667,874667,874667,866333,856333,850000,850000,850000,856633,871633,888263,904963,916596,924967,920633,910333,901667,897667,894333,887667,882633,885967,892967,916000,942667,975333,992300,998967,999633,999600
394463,3,"Chicago, IL",IL,284600,294600,300600,302267,301967,297933,296117,292783,288483,283333,280000,284300,291267,301267,306300,309467,306465,302798,298998,295633,290967,284933,281633,284967,291633,297967,299600,301300,304633,307667,309300,306300,303267,298267,296567,299900,304933,309966,311666,313333,313000,307967,302933,299263,295930,289263,284933,287967,297667,309300,317967,323300,324967,322967,319967,314967,308600,302933,299300,302167,308833,319133,329500,336500,339867,339967,339633,336300
394514,4,"Dallas, TX",TX,322997,328497,331797,332800,329502,324202,321168,318966,317633,315999,313333,313667,316967,323633,328467,330133,328467,324966,321633,319933,319600,317967,314667,313633,315267,318600,321633,325633,330600,333233,334267,332633,331600,328600,328559,330293,335926,342633,350967,359667,367829,371159,373159,373330,376633,378300,381633,388000,394667,407333,419330,432663,438297,434967,428300,419000,410667,403667,398000,396667,400150,411813,426480,438330,441667,440000,435000,430000
394692,5,"Houston, TX",TX,294467,297933,299633,299933,299633,297800,296165,293132,291632,289933,288300,289965,292665,297632,299300,299933,298966,295633,292316,289316,287650,286000,283333,284333,287666,293166,297133,301132,303966,307299,309967,313275,314308,314308,313666,315999,317666,323000,327667,332667,334667,333333,333333,333233,333233,331233,328000,328000,333650,343650,356317,364167,367500,364500,358000,352997,349663,347122,343792,342425,344933,351567,358267,364633,367667,366000,362967,358300
395209,6,"Washington, DC",VA,405633,419967,433267,439933,439933,434933,428300,423300,420000,411633,404633,405633,415667,430967,441600,448233,448233,443233,442083,440450,441783,435967,430967,433000,443300,454967,461633,466667,471633,471600,467479,461049,456049,447137,438600,436967,443333,458333,468333,476633,474967,471633,470000,471667,469667,457967,449600,456267,476300,501333,521333,533083,533083,526717,523300,521633,518300,509800,503100,506433,523267,543297,559963,568297,571300,564667,562667,559633
394974,7,"Philadelphia, PA",PA,225500,234133,242467,249967,251667,251633,249933,249600,247300,242333,236000,234333,239000,248967,259600,266600,269933,268300,268267,268267,268233,263233,256600,256600,261600,269266,275800,284133,291467,293267,291300,289300,287667,283000,276633,273300,274967,284667,292967,299600,299600,297967,297300,294300,290933,283267,278267,277883,285917,297583,309333,316333,318000,314967,311600,308233,304900,298263,293297,291663,295000,303333,313300,321633,323300,321633,321633,323300
394856,8,"Miami, FL",FL,366600,368267,371067,372367,372367,369267,367967,366333,367667,367833,366167,363167,361667,364667,368500,371833,373833,375000,374967,374933,374933,374967,374967,374367,374367,374400,373333,373300,371633,373133,373166,376467,377967,377967,375333,374000,375633,381600,389600,397967,408000,416667,423333,426667,431667,439667,446300,452967,463300,480000,503333,526333,543000,546300,546300,545967,549000,549000,545667,542633,541300,544967,548333,550000,550000,550000,550000,550000
394347,9,"Atlanta, GA",GA,280600,289900,296600,299633,297000,292000,288667,284667,283000,279666,277966,279600,283733,292100,299767,304540,304507,301540,298967,296667,294633,291933,290600,291300,294333,297667,299333,303000,308333,313333,316333,314667,312333,307667,307638,309971,316638,326667,338300,346633,349933,348883,348883,348883,349933,347567,346133,346167,351833,362050,375350,387383,391933,388600,381600,376600,371633,366600,359967,358267,361600,369900,379933,389633,394667,394633,391300,387633
394404,10,"Boston, MA",MA,502933,514933,524633,525667,517000,503967,496267,496567,499600,499300,497667,498000,506666,524666,541300,549300,545967,536000,531300,529967,534967,533333,531333,536300,546300,556600,566300,574633,583000,583300,586633,591300,596333,596333,593333,598000,603000,614633,621633,628267,619933,609600,606267,612933,613266,613966,623966,648633,669300,682333,690967,695967,697967,689667,689667,691000,699000,699000,699333,712817,729783,749450,765967,775967,781300,768267,761600,752933
