RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
394913,1,"New York, NY",NY,376000,376333,383333,392333,404000,410667,406667,396000,387667,382667,381667,380000,376667,376667,380000,395000,407667,416000,411000,404667,399667,400333,403049,403049,403049,405667,412333,420000,425000,433333,441667,451667,458333,461667,463333,463500,465167,470167,476667,492000,505000,516667,518000,513333,508333,503333,505000,503750,508750,512083,523333,538333,553333,561667,555000,541667,526667,515000,511667,506667,505000,513333,530000,555000,570000,586667,587500,579167
753899,2,"Los Angeles, CA",CA,608333,620000,628333,636667,641667,641000,634333,629333,625667,619000,610667,605000,613333,626667,636667,643000,648000,648000,645167,640167,640167,643333,646500,650000,656667,658500,658333,660000,675333,698667,717000,726667,728333,726667,723333,730000,746333,773000,796917,813833,820500,821583,820000,821667,823333,830000,831667,841667,856667,882333,900667,905667,892000,875000,858333,849667,837333,822333,810667,811667,825000,840000,851667,865000,878333,890000,890000,891333
394463,3,"Chicago, IL",IL,222833,231167,238080,245247,245343,241763,230096,222833,219583,217917,216750,215667,221500,229833,239167,245000,246667,245000,238000,231333,226333,224867,223200,222200,230000,242167,250167,250833,253667,260500,263833,262167,257667,254333,249633,246967,252967,262814,277481,285481,288667,285667,278333,273333,268333,266667,263333,264133,267467,280800,293317,304983,302650,296000,285000,277333,272333,266667,263333,261333,269633,281300,296633,309000,315667,315667,308333,300000
394514,4,"Dallas, TX",TX,244667,252000,258333,261667,263333,259000,252667,247342,244676,245176,242167,242500,245000,253333,261667,268000,270500,268833,264167,261633,258300,258967,257333,259000,261333,269275,271942,275942,279667,287000,290000,291666,291750,292317,288167,293417,301417,315900,328900,340624,348624,348958,347000,345708,346675,348579,349537,354904,363750,383083,401083,413667,412134,403968,393301,385333,376500,367167,357667,356965,361965,372121,380156,390156,395000,393856,386822,380156
394692,5,"Houston, TX",TX,212417,219983,225567,228900,230000,227500,223500,219133,216967,217633,215333,215125,216792,223458,231300,236300,237967,236333,232000,228667,225667,228333,226667,228000,228004,234004,236004,241000,248333,255667,255850,254183,255183,258333,256667,258333,265667,278662,289329,296996,300667,300833,295833,293333,294167,298500,298667,302633,306411,317744,327111,335667,337667,331250,324583,316550,311300,305533,300900,300898,303998,311915,318583,325250,,,324333,319333
395209,6,"Washington, DC",VA,366099,379600,391667,400333,401333,398000,386333,377664,372480,375814,371483,370000,371667,386667,399950,409950,411617,408333,396667,390000,386667,391667,386667,388000,396333,414667,425000,428333,435000,441250,442883,437883,433300,430000,421667,415000,421667,440000,463333,478300,481633,476133,462833,457833,453333,453333,443300,441633,451633,480000,506667,518333,513333,501398,485951,477618,467987,460100,448430,451663,462330,488250,509917,529250,531667,526000,511000,504667
394974,7,"Philadelphia, PA",PA,195000,200667,210667,220667,228333,231667,225667,217667,212667,209333,205667,200667,201667,210000,220000,233333,241667,246167,237833,229833,226000,226000,225667,221000,224333,236000,243333,248333,253000,263000,268000,265000,262333,260667,257333,251667,250000,254983,264983,278983,290633,298967,293300,286667,280000,276667,271267,262933,262267,271000,287667,306667,315500,318833,310500,303333,296000,292667,286000,280000,280000,287000,300333,315400,328400,334229,328246,323246
394856,8,"Miami, FL",FL,253333,255333,259833,263167,264500,263000,259667,259667,260000,260000,256667,256483,259817,266483,270667,274667,278000,279000,275833,274167,275000,275833,275833,276167,281167,287833,294333,297667,302667,309000,312333,313000,312300,315633,318300,320667,322333,327333,333567,341900,346900,349667,347000,347000,350667,356667,361667,366667,375000,382583,394250,402583,406667,403333,401667,401667,401667,396667,396667,400000,410000,419883,428217,438217,441667,443333,442833,442833
394347,9,"Atlanta, GA",GA,201917,210250,218333,224967,226467,220133,216167,212967,214300,212300,210528,210495,213903,219408,229108,235033,239633,235967,231967,226667,226000,226667,225667,227000,233633,244633,249633,250800,254467,260467,264000,264000,263667,263275,262442,263442,268167,278442,290108,305275,312833,316167,313667,316617,320450,327117,324500,327667,329333,341667,352550,360883,361217,356078,347745,341078,336333,332667,327667,328000,335000,345000,353333,360817,369817,373150,368667,363583
394404,10,"Boston, MA",MA,397103,407103,425500,445500,455167,458000,441333,427333,419000,417333,418333,413333,417917,421250,437917,456667,471667,473333,458333,445667,437333,442333,445000,443333,449667,463733,477906,488206,494806,509300,512667,510333,503333,501167,499500,499500,503333,521633,545300,573633,586000,589000,572333,559967,553300,554967,551667,545000,553333,580000,610667,642333,650667,648333,623333,603333,589983,576628,564961,549978,559667,581333,613000,642667,664317,670983,651650,633333
