"GEO_ID","NAME","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C02_001M","S1901_C02_001E","S1901_C01_001M","S1901_C01_001E","S1901_C02_002E","S1901_C02_002M","S1901_C01_002M","S1901_C01_002E","S1901_C04_002M","S1901_C04_002E","S1901_C03_002M","S1901_C03_002E","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C04_003E","S1901_C04_003M","S1901_C03_003M","S1901_C03_003E","S1901_C04_004E","S1901_C04_004M","S1901_C03_004M","S1901_C03_004E","S1901_C02_004M","S1901_C02_004E","S1901_C01_004M","S1901_C01_004E","S1901_C04_005E","S1901_C04_005M","S1901_C03_005M","S1901_C03_005E","S1901_C02_005M","S1901_C02_005E","S1901_C01_005M","S1901_C01_005E","S1901_C04_006E","S1901_C04_006M","S1901_C03_006M","S1901_C03_006E","S1901_C02_006M","S1901_C02_006E","S1901_C01_006M","S1901_C01_006E","S1901_C01_007E","S1901_C01_007M","S1901_C04_007M","S1901_C04_007E","S1901_C03_007M","S1901_C03_007E","S1901_C02_007M","S1901_C02_007E","S1901_C01_008E","S1901_C01_008M","S1901_C04_008E","S1901_C04_008M","S1901_C03_008M","S1901_C03_008E","S1901_C02_008M","S1901_C02_008E","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C01_010E","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C02_011E","S1901_C02_011M","S1901_C01_011M","S1901_C01_011E","S1901_C04_011M","S1901_C04_011E","S1901_C03_011M","S1901_C03_011E","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C04_012E","S1901_C04_012M","S1901_C03_012M","S1901_C03_012E","S1901_C02_013M","S1901_C02_013E","S1901_C01_013M","S1901_C01_013E","S1901_C03_013E","S1901_C03_013M","S1901_C04_013M","S1901_C04_013E","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C04_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C02_015E","S1901_C02_015M","S1901_C01_015M","S1901_C01_015E","S1901_C04_015M","S1901_C04_015E","S1901_C03_015M","S1901_C03_015E","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$150,000 to $199,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!Mean income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US01003","Baldwin County, Alabama","N","N","20075","2075","3137","48021","3456","68096","4.4","1.6","1.7","7.4","4.4","15.6","N","N","5.5","1.7","3.5","1.4","11.1","4.2","N","N","22.5","5.6","N","N","1.9","8.2","2.1","12.3","12.9","3.9","N","N","2.0","8.8","1.7","10.1","16.1","4.3","N","N","3.8","17.6","3.0","17.1","19.9","3.3","3.4","12.3","N","N","4.0","23.0","11.1","2.3","3.5","1.9","N","N","2.9","13.7","8.5","1.7","10.3","2.2","N","N","3.5","2.5","1.1","5.5","1.5","4.2","N","N","1.1","1.1","5.0","1.4","1.2","3.9","1.8","1.4","N","N","47502","2902","56784","3000","25565","3734","3551","62924","4180","74045","4225","64806","N","N","8685","40740","30.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.9","(X)",
"0500000US01015","Calhoun County, Alabama","N","N","15307","1794","1764","30555","1776","45862","9.7","2.9","2.7","14.5","5.0","24.2","N","N","8.7","2.3","4.3","1.9","17.6","5.1","N","N","19.8","5.7","N","N","3.1","11.3","2.8","14.0","15.1","4.9","N","N","3.1","9.8","2.4","11.0","10.2","3.6","N","N","3.4","15.1","2.5","13.4","17.1","2.9","2.6","7.0","N","N","3.9","21.4","10.3","2.2","3.7","2.8","N","N","2.9","13.2","7.7","2.0","10.4","2.7","N","N","2.4","2.0","0.9","2.7","1.4","1.8","N","N","0.0","1.1","2.3","1.6","1.1","1.5","1.1","0.0","N","N","36675","3304","49953","5860","18489","2793","6327","61073","4319","58342","3239","48098","N","N","2991","26263","35.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.2","(X)",
"0500000US01043","Cullman County, Alabama","N","N","8547","1345","1597","21119","1543","29666","9.8","3.6","3.5","12.9","7.5","21.5","N","N","7.3","2.0","3.5","1.7","18.4","6.1","N","N","30.6","8.0","N","N","4.1","13.4","4.1","18.4","8.1","3.6","N","N","3.7","11.3","2.9","10.5","13.8","5.5","N","N","5.1","22.9","4.2","20.7","10.6","2.9","2.6","3.6","N","N","3.8","13.9","9.2","3.0","2.8","3.0","N","N","4.1","11.2","7.0","2.1","9.3","2.9","N","N","1.2","1.4","1.2","2.8","1.7","2.0","N","N","0.0","2.0","1.9","1.7","1.2","1.4","2.0","0.0","N","N","35786","4997","42297","2763","19220","2794","7605","50265","6126","56636","4667","47449","N","N","3645","23614","24.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.0","(X)",
"0500000US01049","DeKalb County, Alabama","N","N","5761","1035","1547","19977","1362","25738","6.0","2.8","2.8","9.3","8.2","20.8","N","N","8.3","2.4","3.5","1.7","25.6","8.4","N","N","16.2","7.8","N","N","4.8","18.0","3.8","15.9","15.7","7.5","N","N","4.8","14.9","4.2","15.5","12.6","8.8","N","N","3.9","16.9","3.7","16.0","19.7","4.1","3.2","4.8","N","N","5.0","22.3","5.8","2.1","0.7","1.3","N","N","2.6","7.2","7.4","2.9","8.7","3.5","N","N","2.9","3.9","0.6","0.6","0.7","0.5","N","N","0.0","2.9","1.9","1.6","1.2","1.6","1.3","0.8","N","N","35967","4647","40398","4849","18451","5824","5359","50056","9217","55694","7276","50031","N","N","6979","27870","29.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.2","(X)",
"0500000US01051","Elmore County, Alabama","N","N","6979","1253","2034","21881","1646","28860","3.7","2.0","2.1","4.9","5.7","10.8","N","N","4.6","2.0","1.8","1.0","13.2","6.9","N","N","19.8","8.2","N","N","2.6","7.2","2.7","10.1","21.3","8.3","N","N","3.5","11.1","3.3","13.6","13.0","6.1","N","N","4.1","13.6","3.5","13.1","22.1","3.6","7.0","19.7","N","N","4.1","22.1","11.3","3.2","0.0","2.4","N","N","4.1","14.6","14.8","3.2","18.9","4.3","N","N","2.2","3.3","1.5","3.7","2.0","2.8","N","N","0.0","2.4","3.3","1.9","1.4","2.5","2.4","0.0","N","N","52222","3938","64118","6228","27110","4621","5958","74625","6233","75112","4131","65099","N","N","4256","32365","25.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.6","(X)",
"0500000US01055","Etowah County, Alabama","19239","1750","12446","1307","1734","27285","1516","39731","5.8","2.5","2.4","11.0","6.5","22.9","0.8","1.0","7.6","1.8","4.8","2.0","13.9","4.0","1.5","2.7","22.9","5.6","3.9","14.3","3.3","14.6","2.7","16.9","9.9","3.7","3.4","13.8","3.0","14.4","2.4","12.4","13.9","5.6","4.0","22.9","4.0","24.1","3.7","21.4","15.8","3.1","5.0","12.0","4.9","19.7","4.0","16.8","6.6","2.0","0.9","1.0","3.8","12.2","2.9","9.4","5.8","2.0","7.0","2.5","9.3","3.5","3.1","2.9","0.8","1.7","1.0","1.4","2.0","1.3","0.4","0.7","1.4","1.2","0.8","1.0","0.2","0.1","1.7","1.9","35897","2125","39636","2869","19785","2499","4617","45757","4825","53205","3658","46442","N","N","4670","29962","28.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.9","(X)",
"0500000US01069","Houston County, Alabama","19444","1145","12783","1127","1147","27423","1029","40206","6.6","1.4","1.5","10.7","3.2","20.4","0.7","1.6","6.7","1.3","3.8","1.1","13.6","3.3","0.8","1.9","24.4","4.4","2.6","7.8","2.2","11.8","2.1","15.5","13.0","2.9","1.9","10.6","2.4","12.6","1.8","12.8","13.8","3.2","2.4","15.2","2.1","15.5","1.6","14.7","16.9","1.8","2.7","10.5","3.1","22.7","2.3","19.0","10.6","1.7","1.7","1.1","3.2","18.9","2.3","14.7","8.7","1.4","11.5","1.8","15.0","2.4","1.8","1.0","0.5","2.3","0.7","1.8","3.2","1.0","0.6","0.6","2.3","0.9","0.6","1.6","0.3","0.2","1.2","3.2","38579","2509","49661","3241","21971","1825","1858","61879","2832","62349","2218","52267","N","N","2264","28930","30.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.1","(X)",
"0500000US01073","Jefferson County, Alabama","104546","4188","92132","4329","4695","165087","3375","257219","7.3","1.1","1.0","10.7","1.8","17.1","0.6","1.4","6.6","0.8","3.5","0.7","12.1","1.8","0.7","1.8","17.6","2.1","1.5","7.5","1.2","11.3","1.1","13.3","12.2","1.8","1.3","7.9","1.3","11.1","1.0","11.5","16.6","2.0","1.8","13.9","1.3","15.0","1.1","15.7","16.6","1.1","1.8","13.5","2.1","19.9","1.4","18.1","9.2","0.8","4.5","1.0","1.5","15.7","1.1","11.5","9.8","0.9","12.8","1.3","18.4","1.9","4.4","1.1","0.6","5.5","0.9","4.0","7.7","1.3","1.4","0.6","3.9","0.7","0.4","2.7","0.3","0.7","1.0","6.0","41583","1131","51458","1455","27106","1871","3512","71849","2402","71691","1803","60247","91840","3301","2537","38941","28.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.9","(X)",
"0500000US01077","Lauderdale County, Alabama","N","N","13588","1430","1474","25056","1590","38644","4.9","2.3","2.5","11.6","4.8","23.9","N","N","9.6","2.8","5.3","2.6","17.6","6.0","N","N","16.5","4.3","N","N","2.8","11.2","2.2","11.9","11.3","3.8","N","N","3.9","12.5","2.6","12.1","16.3","5.2","N","N","3.2","14.0","3.0","14.8","17.6","3.5","3.5","8.2","N","N","4.6","20.8","10.6","2.5","3.5","2.3","N","N","3.7","14.5","8.2","2.0","11.4","2.5","N","N","2.3","2.9","1.0","2.6","1.5","1.9","N","N","0.5","0.8","2.7","1.6","1.1","1.8","1.3","0.0","N","N","38661","3423","51263","3151","18974","2649","6426","65039","4392","63631","2987","51465","N","N","3505","27370","29.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.6","(X)",
