"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US01003","Baldwin County, Alabama","94105","3462","5.1","1.6","2.8","1.2","7.7","1.9","9.1","2.2","13.3","2.5","17.5","2.9","16.2","3.0","14.5","2.4","8.2","2.2","5.6","1.6","63866","5457","87234","5636","36.3","(X)","(X)","(X)","(X)","(X)","61777","3355","3.9","1.6","1.1","1.1","4.7","1.6","5.9","1.9","10.6","2.5","17.8","3.1","19.0","4.0","17.5","3.1","11.5","3.2","7.9","2.2","82899","6334","105195","7649","(X)","(X)","38.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90070","6117","N","N","(X)","(X)","(X)","(X)","(X)","(X)","32328","3762","8.7","3.8","6.0","2.9","13.8","4.4","13.6","4.8","19.1","5.8","18.8","5.6","9.7","4.7","7.1","3.3","1.9","1.3","1.2","1.4","41895","3963","51166","7006","(X)","(X)","(X)","(X)","31.5","(X)",
"0500000US01015","Calhoun County, Alabama","44631","1889","9.8","2.3","7.3","2.0","14.8","3.0","9.2","2.5","10.9","2.0","17.6","2.8","15.7","3.6","9.4","2.7","2.9","1.3","2.4","1.0","46524","6711","59140","4241","36.6","(X)","(X)","(X)","(X)","(X)","27880","2167","7.4","2.8","3.8","2.5","8.7","2.8","8.5","2.4","9.6","2.6","20.5","3.8","20.7","5.2","13.9","4.1","4.6","2.2","2.2","1.2","66042","10210","71220","4918","(X)","(X)","39.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","72646","8985","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16751","1921","15.7","4.8","12.8","4.1","25.7","6.5","11.1","5.0","11.4","3.7","13.2","4.7","6.2","2.9","1.3","1.6","0.8","1.1","1.7","1.4","23653","2531","35913","5335","(X)","(X)","(X)","(X)","29.9","(X)",
"0500000US01043","Cullman County, Alabama","35131","1361","5.1","2.5","4.4","2.0","10.5","3.0","11.1","3.0","15.8","3.3","16.7","3.2","12.9","3.2","14.2","3.3","4.9","2.3","4.4","1.8","55517","6722","72112","5814","45.7","(X)","(X)","(X)","(X)","(X)","25250","1818","0.5","0.4","4.5","2.5","5.2","2.3","11.7","3.9","13.6","3.2","18.0","3.9","15.8","4.0","19.4","4.4","5.8","2.9","5.4","2.5","68782","8099","83458","7391","(X)","(X)","43.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81036","8154","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9881","1578","16.7","7.9","7.0","4.3","27.3","9.4","12.1","5.5","19.9","7.8","11.7","5.8","1.9","2.0","0.2","0.3","2.1","3.3","1.1","1.3","24587","5022","34543","6651","(X)","(X)","(X)","(X)","44.3","(X)",
"0500000US01049","DeKalb County, Alabama","24979","1117","5.6","2.3","10.1","3.6","16.0","4.8","10.1","3.5","14.1","3.4","14.8","3.7","9.8","3.0","11.6","3.5","5.3","1.8","2.7","1.6","41800","6689","69253","13987","40.8","(X)","(X)","(X)","(X)","(X)","16919","1347","2.7","1.6","5.0","2.7","12.6","5.1","10.9","4.6","15.6","4.7","15.7","4.2","13.0","4.4","15.2","4.6","5.8","2.5","3.5","2.3","54050","9256","81058","19338","(X)","(X)","44.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","65960","9888","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8060","1406","13.5","6.8","19.1","8.1","26.4","8.5","8.4","4.5","11.2","4.2","12.8","5.9","3.3","2.8","2.9","3.1","1.6","2.0","0.9","1.5","21596","3708","39561","13642","(X)","(X)","(X)","(X)","31.9","(X)",
"0500000US01051","Elmore County, Alabama","32108","1460","4.8","2.1","5.0","2.5","8.5","3.3","9.0","3.2","18.5","4.7","14.3","3.8","13.2","2.9","18.6","4.3","4.9","2.1","3.1","1.3","59032","8600","75658","6593","39.6","(X)","(X)","(X)","(X)","(X)","22219","1796","3.7","2.5","4.2","2.7","2.4","2.4","11.8","5.2","13.2","5.0","17.8","5.1","12.7","3.8","24.2","5.5","6.5","3.1","3.6","1.9","70884","7176","85723","9226","(X)","(X)","42.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90241","16953","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9889","1419","8.0","4.2","8.6","5.2","25.3","9.2","6.7","4.3","27.3","9.8","9.2","4.4","6.1","3.6","6.8","4.9","0.5","0.9","1.5","1.6","35790","9501","47705","11325","(X)","(X)","(X)","(X)","32.8","(X)",
"0500000US01055","Etowah County, Alabama","38006","1724","8.1","2.0","7.8","2.1","12.2","3.1","10.1","2.9","16.9","3.2","19.9","3.3","8.0","2.2","12.7","2.9","2.8","1.1","1.7","0.9","45298","4507","58655","4580","47.5","(X)","(X)","(X)","(X)","(X)","24392","1851","4.0","2.1","2.5","1.4","9.9","3.4","9.5","3.7","18.1","4.3","19.8","4.0","11.8","3.3","17.9","4.5","3.9","1.6","2.5","1.4","56531","5206","72126","7188","(X)","(X)","51.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70342","4496","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13614","1716","15.2","4.7","17.2","5.2","18.5","5.4","11.0","4.9","16.9","5.5","16.1","5.8","2.8","1.8","1.4","1.2","0.5","0.9","0.4","0.5","24144","6400","32351","3526","(X)","(X)","(X)","(X)","39.5","(X)",
"0500000US01069","Houston County, Alabama","44058","937","8.5","1.4","6.5","1.1","10.6","1.7","12.4","2.1","14.3","1.8","17.6","2.2","10.2","1.7","11.4","1.8","4.6","1.3","3.9","1.0","46931","3484","68908","4610","44.7","(X)","(X)","(X)","(X)","(X)","29030","1331","6.3","1.4","4.7","1.2","8.2","1.8","9.1","2.1","12.9","2.0","19.9","2.8","11.8","1.9","15.5","2.4","6.3","1.7","5.2","1.5","60587","3998","83048","6561","(X)","(X)","46.5","(X)","(X)","(X)","18967","1146","2.1","1.0","1.4","0.8","5.0","1.6","7.6","2.7","10.5","2.3","20.6","3.8","15.3","2.9","20.4","3.2","9.2","2.6","7.9","2.2","79172","5100","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15028","1241","14.3","2.9","10.3","2.4","16.4","3.5","17.5","4.0","17.9","3.4","12.5","2.7","5.8","3.3","2.8","1.0","1.6","1.1","1.0","0.9","28829","2443","39216","3466","(X)","(X)","(X)","(X)","39.4","(X)",
"0500000US01073","Jefferson County, Alabama","270147","3778","8.1","1.0","5.0","0.8","10.0","1.0","8.5","0.9","13.3","1.3","17.9","1.3","11.3","1.2","12.8","1.2","5.7","0.7","7.3","0.9","55006","1969","82242","3072","42.2","(X)","(X)","(X)","(X)","(X)","161313","5492","5.3","1.1","3.4","0.8","5.8","1.1","7.3","1.2","10.8","1.6","17.7","1.7","13.8","1.5","16.6","1.6","8.7","1.3","10.6","1.2","74592","3599","103505","4823","(X)","(X)","46.5","(X)","(X)","(X)","104678","4205","1.3","0.7","1.4","0.6","2.9","0.9","5.1","1.3","7.8","1.4","17.4","1.8","15.4","2.1","22.4","2.0","11.3","1.7","15.0","1.7","97640","3632","128661","5865","(X)","(X)","(X)","(X)","(X)","(X)","108834","4511","13.3","2.0","7.7","1.4","16.4","2.0","10.2","1.6","17.0","2.6","18.2","2.1","7.5","1.5","6.5","1.5","1.7","0.6","1.6","0.5","36575","1614","47882","2326","(X)","(X)","(X)","(X)","35.1","(X)",
"0500000US01077","Lauderdale County, Alabama","38250","1562","7.0","2.5","5.2","1.9","11.5","3.2","9.8","3.1","16.3","3.6","15.3","3.2","13.5","3.0","12.2","3.2","5.7","2.2","3.4","1.3","50218","7743","68921","5747","45.1","(X)","(X)","(X)","(X)","(X)","25551","1982","4.0","2.4","3.5","1.9","8.0","3.5","7.5","3.5","16.3","5.0","16.2","3.7","16.0","4.0","15.3","4.6","8.5","3.2","4.9","2.0","64865","9470","82764","8439","(X)","(X)","45.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81601","5145","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12699","1702","13.0","5.2","8.6","4.1","18.7","7.0","18.8","6.7","15.2","5.4","16.6","7.0","4.1","2.6","4.3","3.0","0.1","0.2","0.5","0.6","32327","6556","37940","5262","(X)","(X)","(X)","(X)","42.3","(X)",
